INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (1, 'Mickey', 'Ketteringham', '2007-03-05');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (38, 'Vincenz', 'Sneath', '2009-08-22');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (39, 'Dallon', 'Foulgham', '2010-12-07');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (40, 'Jonell', 'Pursehouse', '2008-04-05');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (41, 'Francisca', 'Eingerfield', '2014-04-08');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (42, 'Celestine', 'Pettis', '2007-02-01');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (43, 'Ami', 'Forster', '2009-05-19');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (44, 'Eyde', 'Crock', '2013-11-25');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (45, 'Heda', 'Americi', '2012-11-11');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (46, 'Renard', 'Laslett', '2008-08-27');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (47, 'Kleon', 'Benn', '2010-12-15');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (48, 'Alexandros', 'Giacomelli', '2009-09-19');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (49, 'Nelia', 'Troni', '2011-09-13');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (50, 'Camella', 'Woolnough', '2014-02-27');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (51, 'Moshe', 'Tibbits', '2009-11-13');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (52, 'Clary', 'Greenhow', '2010-02-24');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (53, 'Mercie', 'Stringer', '2008-06-06');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (54, 'Donalt', 'Pedrocco', '2014-12-06');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (55, 'Clemmie', 'Callington', '2014-10-31');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (56, 'Marita', 'Rudolf', '2012-01-10');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (57, 'Corey', 'Spaight', '2007-02-26');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (58, 'Stefano', 'Comber', '2007-08-03');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (59, 'Maggi', 'Blitzer', '2014-12-21');
INSERT INTO Alumno (id, nombre, apellidos, fechanacimiento) VALUES (60, 'Adelina', 'Tremouille', '2010-08-19');
